Fecha (UTC),Fecha (Local),Planeta 1,Aspecto,Planeta 2,Descripción,Posición 1,Posición 2
2025-01-02 03:47:06,2025-01-02 00:47:06,Luna,Sextil,Venus,Luna (directo) por tránsito esta en Sextil a tu Venus Natal,9°36' Acuario,9°36' Sagitario
2025-01-02 20:05:51,2025-01-02 17:05:51,Luna,Sextil,Mercurio,Luna (directo) por tránsito esta en Sextil a tu Mercurio Natal,18°55' Acuario,18°55' Sagitario
2025-01-02 20:32:34,2025-01-02 17:32:34,Luna,Cuadratura,Neptuno,Luna (directo) por tránsito esta en Cuadratura a tu Neptuno Natal,19°10' Acuario,19°10' Escorpio
2025-01-02 21:06:19,2025-01-02 18:06:19,Mercurio,Cuadratura,Marte,Mercurio (directo) por tránsito esta en Cuadratura a tu Marte Natal,22°19' Sagitario,22°19' Virgo
2025-01-02 21:09:08,2025-01-02 18:09:08,Luna,Trígono,Luna,Luna (directo) por tránsito esta en Trígono a tu Luna Natal,19°31' Acuario,19°31' Libra
2025-01-03 16:48:59,2025-01-03 13:48:59,Luna,Conjunción,Saturno,Luna (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-01-03 22:36:19,2025-01-03 19:36:19,Venus,Conjunción,Saturno,Venus (directo) por tránsito esta en Conjunción a tu Saturno Natal,0°50' Piscis,0°50' Piscis
2025-01-04 00:28:49,2025-01-03 21:28:49,Luna,Sextil,Sol,Luna (directo) por tránsito esta en Sextil a tu Sol Natal,5°16' Piscis,5°16' Capricornio
2025-01-04 07:58:49,2025-01-04 04:58:49,Luna,Cuadratura,Venus,Luna (directo) por tránsito esta en Cuadratura a tu Venus Natal,9°36' Piscis,9°36' Sagitario
2025-01-04 16:57:25,2025-01-04 13:57:25,Luna,Oposición,Urano,Luna (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-01-04 19:30:42,2025-01-04 16:30:42,Luna,Oposición,Plutón,Luna (directo) por tránsito esta en Oposición a tu Plutón Natal,16°18' Piscis,16°18' Virgo
2025-01-04 20:50:51,2025-01-04 17:50:51,Saturno,Oposición,Urano,Saturno (directo) por tránsito esta en Oposición a tu Urano Natal,14°49' Piscis,14°49' Virgo
2025-01-04 22:27:53,2025-01-04 19:27:53,Sol,Trígono,Urano,Sol (directo) por tránsito esta en Trígono a tu Urano Natal,14°49' Capricornio,14°49' Virgo
