Fecha (UTC),Planeta Transito,Aspecto,Planeta Natal,Orbe (Grados),Pos. Transito,Pos. Natal
2025-01-01 06:08:26,Mercurio,Cuadratura,Marte,0.000028,260.199972,170.200000
2025-01-02 22:19:27,Luna,Cuadratura,Neptuno,0.002074,320.202074,230.200000
2025-01-03 05:39:36,Venus,Conjunción,Saturno,0.000009,330.099991,330.100000
2025-01-03 14:42:25,Venus,Cuadratura,Venus,0.000020,330.500020,240.500000
2025-01-03 15:31:38,Luna,Conjunción,Saturno,0.000553,330.100553,330.100000
2025-01-03 16:13:49,Luna,Cuadratura,Venus,0.006302,330.506302,240.500000
2025-01-04 00:41:29,Luna,Oposición,Plutón,0.004717,335.395283,155.400000
2025-01-04 09:30:14,Luna,Oposición,Urano,0.000775,340.499225,160.500000
2025-01-04 22:19:27,Mercurio,Conjunción,Mercurio,0.000525,265.100525,265.100000
2025-01-05 02:12:11,Luna,Oposición,Marte,0.000039,350.200039,170.200000
2025-01-05 10:36:19,Luna,Cuadratura,Mercurio,0.006022,355.093978,265.100000
2025-01-06 03:55:32,Luna,Oposición,Luna,0.006545,5.206545,185.200000
2025-01-06 04:15:14,Luna,Cuadratura,Sol,0.001579,5.398421,275.400000
2025-01-06 12:07:44,Luna,Conjunción,Júpiter,0.006634,10.006634,10.000000
2025-01-08 07:02:34,Venus,Oposición,Plutón,0.000335,335.399665,155.400000
2025-01-09 08:28:21,Luna,Oposición,Neptuno,0.002559,50.197441,230.200000
2025-01-10 01:16:38,Luna,Cuadratura,Saturno,0.001892,60.098108,330.100000
2025-01-10 01:57:25,Luna,Oposición,Venus,0.001754,60.498246,240.500000
2025-01-11 19:57:25,Luna,Oposición,Mercurio,0.000794,85.100794,265.100000
2025-01-12 00:56:57,Mercurio,Cuadratura,Luna,0.000552,275.199448,185.200000
2025-01-12 04:13:49,Mercurio,Conjunción,Sol,0.000334,275.399666,275.400000
2025-01-12 13:44:45,Luna,Oposición,Sol,0.004984,95.395016,275.400000
2025-01-12 21:45:42,Luna,Cuadratura,Júpiter,0.003003,99.996997,10.000000
2025-01-13 07:36:19,Venus,Oposición,Urano,0.000225,340.500225,160.500000
2025-01-16 16:57:25,Luna,Oposición,Saturno,0.001769,150.101769,330.100000
2025-01-17 03:06:19,Luna,Conjunción,Plutón,0.005659,155.394341,155.400000
2025-01-17 12:59:45,Luna,Conjunción,Urano,0.001577,160.501577,160.500000
2025-01-18 08:01:38,Luna,Conjunción,Marte,0.000139,170.200139,170.200000
2025-01-19 14:00:14,Luna,Conjunción,Luna,0.001006,185.198994,185.200000
2025-01-19 23:42:25,Luna,Oposición,Júpiter,0.001470,190.001470,10.000000
2025-01-23 09:04:55,Luna,Conjunción,Neptuno,0.004665,230.204665,230.200000
2025-01-23 11:52:58,Venus,Oposición,Marte,0.000033,350.199967,170.200000
2025-01-24 05:28:21,Luna,Conjunción,Venus,0.005807,240.505807,240.500000
2025-01-24 15:02:06,Luna,Cuadratura,Plutón,0.000577,245.399423,155.400000
2025-01-25 00:54:08,Luna,Cuadratura,Urano,0.002990,250.497010,160.500000
2025-01-25 19:23:40,Luna,Cuadratura,Marte,0.005320,260.194680,170.200000
2025-01-26 04:36:19,Luna,Conjunción,Mercurio,0.000063,265.100063,265.100000
2025-01-26 23:15:42,Luna,Cuadratura,Luna,0.004125,275.195875,185.200000
2025-01-26 23:38:12,Luna,Conjunción,Sol,0.001033,275.401033,275.400000
2025-01-29 02:57:53,Venus,Cuadratura,Mercurio,0.000129,355.099871,265.100000
2025-01-30 06:17:34,Luna,Cuadratura,Neptuno,0.005102,320.205102,230.200000
2025-01-30 23:03:02,Luna,Conjunción,Saturno,0.004879,330.104879,330.100000
2025-01-30 23:42:25,Luna,Cuadratura,Venus,0.005890,330.494110,240.500000
2025-01-31 07:57:25,Luna,Oposición,Plutón,0.004681,335.395319,155.400000
2025-01-31 16:32:06,Luna,Oposición,Urano,0.004691,340.504691,160.500000
2025-02-01 08:46:38,Luna,Oposición,Marte,0.002951,350.202951,170.200000
2025-02-01 16:58:07,Luna,Cuadratura,Mercurio,0.000096,355.099904,265.100000
2025-02-02 09:52:01,Luna,Oposición,Luna,0.000019,5.199981,185.200000
2025-02-02 10:12:25,Luna,Cuadratura,Sol,0.002965,5.402965,275.400000
2025-02-02 17:55:04,Luna,Conjunción,Júpiter,0.006107,10.006107,10.000000
2025-02-05 13:54:36,Luna,Oposición,Neptuno,0.005916,50.205916,230.200000
2025-02-06 06:54:08,Luna,Cuadratura,Saturno,0.000944,60.100944,330.100000
2025-02-06 07:34:55,Luna,Oposición,Venus,0.004739,60.495261,240.500000
2025-02-08 02:25:32,Luna,Oposición,Mercurio,0.000030,85.100030,265.100000
2025-02-08 17:19:55,Sol,Cuadratura,Neptuno,0.000219,320.200219,230.200000
2025-02-08 20:38:12,Luna,Oposición,Sol,0.005302,95.394698,275.400000
2025-02-09 01:22:15,Mercurio,Cuadratura,Neptuno,0.000150,320.199850,230.200000
2025-02-09 04:50:23,Luna,Cuadratura,Júpiter,0.003450,99.996550,10.000000
2025-02-12 04:05:23,Venus,Oposición,Luna,0.000059,5.200059,185.200000
2025-02-12 12:26:00,Venus,Cuadratura,Sol,0.000136,5.399864,275.400000
2025-02-13 01:18:02,Luna,Oposición,Saturno,0.005208,150.094792,330.100000
2025-02-13 11:29:45,Luna,Conjunción,Plutón,0.004629,155.404629,155.400000
2025-02-13 21:21:47,Luna,Conjunción,Urano,0.003717,160.503717,160.500000
2025-02-14 13:25:04,Mercurio,Conjunción,Saturno,0.000006,330.099994,330.100000
2025-02-14 16:19:27,Luna,Conjunción,Marte,0.002280,170.197720,170.200000
2025-02-14 18:40:04,Mercurio,Cuadratura,Venus,0.000578,330.500578,240.500000
2025-02-15 22:08:12,Luna,Conjunción,Luna,0.004465,185.195535,185.200000
2025-02-16 07:47:34,Luna,Oposición,Júpiter,0.001015,190.001015,10.000000
2025-02-17 10:27:11,Mercurio,Oposición,Plutón,0.000080,335.400080,155.400000
2025-02-18 12:28:49,Sol,Conjunción,Saturno,0.000370,330.099630,330.100000
2025-02-18 22:00:28,Sol,Cuadratura,Venus,0.000032,330.499968,240.500000
2025-02-19 17:15:42,Luna,Conjunción,Neptuno,0.002450,230.197550,230.200000
2025-02-20 04:20:51,Mercurio,Oposición,Urano,0.000356,340.500356,160.500000
2025-02-20 13:54:36,Luna,Conjunción,Venus,0.001638,240.501638,240.500000
2025-02-20 23:38:12,Luna,Cuadratura,Plutón,0.004267,245.404267,155.400000
2025-02-21 09:40:04,Luna,Cuadratura,Urano,0.001117,250.501117,160.500000
2025-02-22 04:29:17,Luna,Cuadratura,Marte,0.005426,260.194574,170.200000
2025-02-22 13:51:47,Luna,Conjunción,Mercurio,0.004315,265.095685,265.100000
2025-02-23 08:52:15,Luna,Cuadratura,Luna,0.000095,275.199905,185.200000
2025-02-23 09:14:45,Luna,Conjunción,Sol,0.001635,275.401635,275.400000
2025-02-23 11:30:28,Venus,Conjunción,Júpiter,0.000026,10.000026,10.000000
2025-02-23 18:43:35,Sol,Oposición,Plutón,0.000087,335.399913,155.400000
2025-02-24 23:37:30,Saturno,Oposición,Marte,0.000020,350.199980,170.200000
2025-02-25 11:11:29,Mercurio,Oposición,Marte,0.000323,350.199677,170.200000
